report_period_start,report_period_end,date_type,time_unit,disease_name,reporting_jurisdiction,state,geo_unit,geo_name,age_group,disease_subtype,confirmation_status,outcome,count
2025-01-05,2025-01-11,cccd,week,pertussis,WA,WA,county,Yakima County,total,total,confirmed and probable,cases,1
2025-01-05,2025-01-11,cccd,week,pertussis,WA,WA,county,Whitman County,total,total,confirmed and probable,cases,1
2025-01-05,2025-01-11,cccd,week,pertussis,WA,WA,state,WA,1-4 y,total,confirmed and probable,cases,2
2025-01-05,2025-01-11,cccd,week,pertussis,WA,WA,state,WA,19-22 y,total,confirmed and probable,cases,4
2025-01-05,2025-01-11,cccd,week,pertussis,WA,WA,state,WA,23-44 y,total,confirmed and probable,cases,1
2025-01-05,2025-01-11,cccd,week,pertussis,WA,WA,state,WA,5-11 y,total,confirmed and probable,cases,1
2025-01-12,2025-01-18,cccd,week,pertussis,WA,WA,county,King County,total,total,confirmed and probable,cases,2
2025-01-12,2025-01-18,cccd,week,pertussis,WA,WA,county,Pierce County,total,total,confirmed and probable,cases,1
2025-01-12,2025-01-18,cccd,week,pertussis,WA,WA,county,Thurston County,total,total,confirmed and probable,cases,1
2025-01-12,2025-01-18,cccd,week,pertussis,WA,WA,county,Walla Walla County,total,total,confirmed and probable,cases,1
2025-01-12,2025-01-18,cccd,week,pertussis,WA,WA,county,Yakima County,total,total,confirmed and probable,cases,1
2025-01-12,2025-01-18,cccd,week,pertussis,WA,WA,county,Skagit County,total,total,confirmed and probable,cases,1
2025-01-12,2025-01-18,cccd,week,pertussis,WA,WA,state,WA,1-4 y,total,confirmed and probable,cases,4
2025-01-12,2025-01-18,cccd,week,pertussis,WA,WA,state,WA,19-22 y,total,confirmed and probable,cases,1
2025-01-12,2025-01-18,cccd,week,pertussis,WA,WA,state,WA,5-11 y,total,confirmed and probable,cases,2
2025-01-19,2025-01-25,cccd,week,pertussis,WA,WA,county,Clark County,total,total,confirmed and probable,cases,1
2025-01-19,2025-01-25,cccd,week,pertussis,WA,WA,county,King County,total,total,confirmed and probable,cases,1
2025-01-19,2025-01-25,cccd,week,pertussis,WA,WA,county,Pierce County,total,total,confirmed and probable,cases,4
2025-01-19,2025-01-25,cccd,week,pertussis,WA,WA,county,San Juan County,total,total,confirmed and probable,cases,1
2025-01-19,2025-01-25,cccd,week,pertussis,WA,WA,county,Whatcom County,total,total,confirmed and probable,cases,1
2025-01-19,2025-01-25,cccd,week,pertussis,WA,WA,county,Yakima County,total,total,confirmed and probable,cases,1
2025-01-19,2025-01-25,cccd,week,pertussis,WA,WA,county,Spokane County,total,total,confirmed and probable,cases,1
2025-01-19,2025-01-25,cccd,week,pertussis,WA,WA,county,Whitman County,total,total,confirmed and probable,cases,1
2025-01-19,2025-01-25,cccd,week,pertussis,WA,WA,state,WA,1-4 y,total,confirmed and probable,cases,4
2025-01-19,2025-01-25,cccd,week,pertussis,WA,WA,state,WA,19-22 y,total,confirmed and probable,cases,2
2025-01-19,2025-01-25,cccd,week,pertussis,WA,WA,state,WA,5-11 y,total,confirmed and probable,cases,5
2025-01-26,2025-02-01,cccd,week,pertussis,WA,WA,county,Benton County,total,total,confirmed and probable,cases,1
2025-01-26,2025-02-01,cccd,week,pertussis,WA,WA,county,Cowlitz County,total,total,confirmed and probable,cases,1
2025-01-26,2025-02-01,cccd,week,pertussis,WA,WA,county,Douglas County,total,total,confirmed and probable,cases,1
2025-01-26,2025-02-01,cccd,week,pertussis,WA,WA,county,Franklin County,total,total,confirmed and probable,cases,1
2025-01-26,2025-02-01,cccd,week,pertussis,WA,WA,county,King County,total,total,confirmed and probable,cases,4
2025-01-26,2025-02-01,cccd,week,pertussis,WA,WA,county,Kitsap County,total,total,confirmed and probable,cases,1
2025-01-26,2025-02-01,cccd,week,pertussis,WA,WA,county,Pierce County,total,total,confirmed and probable,cases,1
2025-01-26,2025-02-01,cccd,week,pertussis,WA,WA,county,Snohomish County,total,total,confirmed and probable,cases,1
2025-01-26,2025-02-01,cccd,week,pertussis,WA,WA,county,Thurston County,total,total,confirmed and probable,cases,1
2025-01-26,2025-02-01,cccd,week,pertussis,WA,WA,county,Jefferson County,total,total,confirmed and probable,cases,1
2025-01-26,2025-02-01,cccd,week,pertussis,WA,WA,state,WA,1-4 y,total,confirmed and probable,cases,8
2025-01-26,2025-02-01,cccd,week,pertussis,WA,WA,state,WA,19-22 y,total,confirmed and probable,cases,1
2025-01-26,2025-02-01,cccd,week,pertussis,WA,WA,state,WA,5-11 y,total,confirmed and probable,cases,4
2025-02-02,2025-02-08,cccd,week,pertussis,WA,WA,county,Asotin County,total,total,confirmed and probable,cases,1
2025-02-02,2025-02-08,cccd,week,pertussis,WA,WA,county,King County,total,total,confirmed and probable,cases,5
2025-02-02,2025-02-08,cccd,week,pertussis,WA,WA,county,Pierce County,total,total,confirmed and probable,cases,1
2025-02-02,2025-02-08,cccd,week,pertussis,WA,WA,county,Thurston County,total,total,confirmed and probable,cases,1
2025-02-02,2025-02-08,cccd,week,pertussis,WA,WA,county,Spokane County,total,total,confirmed and probable,cases,1
2025-02-02,2025-02-08,cccd,week,pertussis,WA,WA,state,WA,1-4 y,total,confirmed and probable,cases,3
2025-02-02,2025-02-08,cccd,week,pertussis,WA,WA,state,WA,19-22 y,total,confirmed and probable,cases,2
2025-02-02,2025-02-08,cccd,week,pertussis,WA,WA,state,WA,23-44 y,total,confirmed and probable,cases,1
2025-02-02,2025-02-08,cccd,week,pertussis,WA,WA,state,WA,5-11 y,total,confirmed and probable,cases,3
2025-02-09,2025-02-15,cccd,week,pertussis,WA,WA,county,Clark County,total,total,confirmed and probable,cases,1
2025-02-09,2025-02-15,cccd,week,pertussis,WA,WA,county,King County,total,total,confirmed and probable,cases,2
2025-02-09,2025-02-15,cccd,week,pertussis,WA,WA,county,Kitsap County,total,total,confirmed and probable,cases,2
2025-02-09,2025-02-15,cccd,week,pertussis,WA,WA,county,Snohomish County,total,total,confirmed and probable,cases,1
2025-02-09,2025-02-15,cccd,week,pertussis,WA,WA,county,Yakima County,total,total,confirmed and probable,cases,1
2025-02-09,2025-02-15,cccd,week,pertussis,WA,WA,state,WA,1-4 y,total,confirmed and probable,cases,3
2025-02-09,2025-02-15,cccd,week,pertussis,WA,WA,state,WA,23-44 y,total,confirmed and probable,cases,1
2025-02-09,2025-02-15,cccd,week,pertussis,WA,WA,state,WA,5-11 y,total,confirmed and probable,cases,3
2025-02-16,2025-02-22,cccd,week,pertussis,WA,WA,county,King County,total,total,confirmed and probable,cases,1
2025-02-16,2025-02-22,cccd,week,pertussis,WA,WA,county,Snohomish County,total,total,confirmed and probable,cases,1
2025-02-16,2025-02-22,cccd,week,pertussis,WA,WA,state,WA,1-4 y,total,confirmed and probable,cases,2
2025-02-23,2025-03-01,cccd,week,pertussis,WA,WA,county,Clark County,total,total,confirmed and probable,cases,1
2025-02-23,2025-03-01,cccd,week,pertussis,WA,WA,county,Island County,total,total,confirmed and probable,cases,1
2025-02-23,2025-03-01,cccd,week,pertussis,WA,WA,county,King County,total,total,confirmed and probable,cases,2
2025-02-23,2025-03-01,cccd,week,pertussis,WA,WA,county,Snohomish County,total,total,confirmed and probable,cases,1
2025-02-23,2025-03-01,cccd,week,pertussis,WA,WA,county,Whatcom County,total,total,confirmed and probable,cases,2
2025-02-23,2025-03-01,cccd,week,pertussis,WA,WA,county,Skagit County,total,total,confirmed and probable,cases,1
2025-02-23,2025-03-01,cccd,week,pertussis,WA,WA,state,WA,1-4 y,total,confirmed and probable,cases,3
2025-02-23,2025-03-01,cccd,week,pertussis,WA,WA,state,WA,19-22 y,total,confirmed and probable,cases,1
2025-02-23,2025-03-01,cccd,week,pertussis,WA,WA,state,WA,5-11 y,total,confirmed and probable,cases,4
2025-03-02,2025-03-08,cccd,week,pertussis,WA,WA,county,King County,total,total,confirmed and probable,cases,1
2025-03-02,2025-03-08,cccd,week,pertussis,WA,WA,county,Snohomish County,total,total,confirmed and probable,cases,3
2025-03-02,2025-03-08,cccd,week,pertussis,WA,WA,state,WA,1-4 y,total,confirmed and probable,cases,2
2025-03-02,2025-03-08,cccd,week,pertussis,WA,WA,state,WA,23-44 y,total,confirmed and probable,cases,2
2025-03-09,2025-03-15,cccd,week,pertussis,WA,WA,county,Clark County,total,total,confirmed and probable,cases,1
2025-03-09,2025-03-15,cccd,week,pertussis,WA,WA,county,King County,total,total,confirmed and probable,cases,2
2025-03-09,2025-03-15,cccd,week,pertussis,WA,WA,county,Snohomish County,total,total,confirmed and probable,cases,1
2025-03-09,2025-03-15,cccd,week,pertussis,WA,WA,county,Yakima County,total,total,confirmed and probable,cases,1
2025-03-09,2025-03-15,cccd,week,pertussis,WA,WA,county,Spokane County,total,total,confirmed and probable,cases,1
2025-03-09,2025-03-15,cccd,week,pertussis,WA,WA,state,WA,19-22 y,total,confirmed and probable,cases,2
2025-03-09,2025-03-15,cccd,week,pertussis,WA,WA,state,WA,5-11 y,total,confirmed and probable,cases,4
2025-03-16,2025-03-22,cccd,week,pertussis,WA,WA,county,Clark County,total,total,confirmed and probable,cases,1
2025-03-16,2025-03-22,cccd,week,pertussis,WA,WA,county,King County,total,total,confirmed and probable,cases,2
2025-03-16,2025-03-22,cccd,week,pertussis,WA,WA,county,Pierce County,total,total,confirmed and probable,cases,1
2025-03-16,2025-03-22,cccd,week,pertussis,WA,WA,county,Stevens County,total,total,confirmed and probable,cases,1
2025-03-16,2025-03-22,cccd,week,pertussis,WA,WA,state,WA,1-4 y,total,confirmed and probable,cases,1
2025-03-16,2025-03-22,cccd,week,pertussis,WA,WA,state,WA,19-22 y,total,confirmed and probable,cases,1
2025-03-16,2025-03-22,cccd,week,pertussis,WA,WA,state,WA,5-11 y,total,confirmed and probable,cases,3
2025-03-23,2025-03-29,cccd,week,pertussis,WA,WA,county,Cowlitz County,total,total,confirmed and probable,cases,1
2025-03-23,2025-03-29,cccd,week,pertussis,WA,WA,county,Douglas County,total,total,confirmed and probable,cases,1
2025-03-23,2025-03-29,cccd,week,pertussis,WA,WA,county,Pierce County,total,total,confirmed and probable,cases,1
2025-03-23,2025-03-29,cccd,week,pertussis,WA,WA,county,Spokane County,total,total,confirmed and probable,cases,1
2025-03-23,2025-03-29,cccd,week,pertussis,WA,WA,state,WA,1-4 y,total,confirmed and probable,cases,1
2025-03-23,2025-03-29,cccd,week,pertussis,WA,WA,state,WA,19-22 y,total,confirmed and probable,cases,1
2025-03-23,2025-03-29,cccd,week,pertussis,WA,WA,state,WA,5-11 y,total,confirmed and probable,cases,2
2025-03-30,2025-04-05,cccd,week,pertussis,WA,WA,county,Clark County,total,total,confirmed and probable,cases,1
2025-03-30,2025-04-05,cccd,week,pertussis,WA,WA,county,King County,total,total,confirmed and probable,cases,3
2025-03-30,2025-04-05,cccd,week,pertussis,WA,WA,county,Snohomish County,total,total,confirmed and probable,cases,1
2025-03-30,2025-04-05,cccd,week,pertussis,WA,WA,county,Skagit County,total,total,confirmed and probable,cases,1
2025-03-30,2025-04-05,cccd,week,pertussis,WA,WA,state,WA,5-11 y,total,confirmed and probable,cases,6
2025-04-06,2025-04-12,cccd,week,pertussis,WA,WA,county,King County,total,total,confirmed and probable,cases,4
2025-04-06,2025-04-12,cccd,week,pertussis,WA,WA,county,Snohomish County,total,total,confirmed and probable,cases,1
2025-04-06,2025-04-12,cccd,week,pertussis,WA,WA,state,WA,1-4 y,total,confirmed and probable,cases,2
2025-04-06,2025-04-12,cccd,week,pertussis,WA,WA,state,WA,23-44 y,total,confirmed and probable,cases,1
2025-04-06,2025-04-12,cccd,week,pertussis,WA,WA,state,WA,5-11 y,total,confirmed and probable,cases,2
2025-04-13,2025-04-19,cccd,week,pertussis,WA,WA,county,Clallam County,total,total,confirmed and probable,cases,1
2025-04-13,2025-04-19,cccd,week,pertussis,WA,WA,county,Grant County,total,total,confirmed and probable,cases,1
2025-04-13,2025-04-19,cccd,week,pertussis,WA,WA,county,King County,total,total,confirmed and probable,cases,7
2025-04-13,2025-04-19,cccd,week,pertussis,WA,WA,county,Okanogan County,total,total,confirmed and probable,cases,1
2025-04-13,2025-04-19,cccd,week,pertussis,WA,WA,county,Pierce County,total,total,confirmed and probable,cases,2
2025-04-13,2025-04-19,cccd,week,pertussis,WA,WA,county,Thurston County,total,total,confirmed and probable,cases,1
2025-04-13,2025-04-19,cccd,week,pertussis,WA,WA,county,Mason County,total,total,confirmed and probable,cases,1
2025-04-13,2025-04-19,cccd,week,pertussis,WA,WA,county,Spokane County,total,total,confirmed and probable,cases,1
2025-04-13,2025-04-19,cccd,week,pertussis,WA,WA,state,WA,1-4 y,total,confirmed and probable,cases,5
2025-04-13,2025-04-19,cccd,week,pertussis,WA,WA,state,WA,19-22 y,total,confirmed and probable,cases,2
2025-04-13,2025-04-19,cccd,week,pertussis,WA,WA,state,WA,23-44 y,total,confirmed and probable,cases,1
2025-04-13,2025-04-19,cccd,week,pertussis,WA,WA,state,WA,5-11 y,total,confirmed and probable,cases,7
2025-04-20,2025-04-26,cccd,week,pertussis,WA,WA,county,Franklin County,total,total,confirmed and probable,cases,1
2025-04-20,2025-04-26,cccd,week,pertussis,WA,WA,county,King County,total,total,confirmed and probable,cases,3
2025-04-20,2025-04-26,cccd,week,pertussis,WA,WA,county,Snohomish County,total,total,confirmed and probable,cases,1
2025-04-20,2025-04-26,cccd,week,pertussis,WA,WA,county,Skagit County,total,total,confirmed and probable,cases,2
2025-04-20,2025-04-26,cccd,week,pertussis,WA,WA,state,WA,1-4 y,total,confirmed and probable,cases,2
2025-04-20,2025-04-26,cccd,week,pertussis,WA,WA,state,WA,19-22 y,total,confirmed and probable,cases,1
2025-04-20,2025-04-26,cccd,week,pertussis,WA,WA,state,WA,5-11 y,total,confirmed and probable,cases,4
2025-04-27,2025-05-03,cccd,week,pertussis,WA,WA,county,Grays Harbor County,total,total,confirmed and probable,cases,1
2025-04-27,2025-05-03,cccd,week,pertussis,WA,WA,county,Pierce County,total,total,confirmed and probable,cases,2
2025-04-27,2025-05-03,cccd,week,pertussis,WA,WA,county,Snohomish County,total,total,confirmed and probable,cases,1
2025-04-27,2025-05-03,cccd,week,pertussis,WA,WA,state,WA,1-4 y,total,confirmed and probable,cases,1
2025-04-27,2025-05-03,cccd,week,pertussis,WA,WA,state,WA,5-11 y,total,confirmed and probable,cases,3
2025-05-04,2025-05-10,cccd,week,pertussis,WA,WA,county,Kitsap County,total,total,confirmed and probable,cases,1
2025-05-04,2025-05-10,cccd,week,pertussis,WA,WA,county,Kittitas County,total,total,confirmed and probable,cases,1
2025-05-04,2025-05-10,cccd,week,pertussis,WA,WA,county,Snohomish County,total,total,confirmed and probable,cases,4
2025-05-04,2025-05-10,cccd,week,pertussis,WA,WA,county,Whatcom County,total,total,confirmed and probable,cases,1
2025-05-04,2025-05-10,cccd,week,pertussis,WA,WA,state,WA,1-4 y,total,confirmed and probable,cases,3
2025-05-04,2025-05-10,cccd,week,pertussis,WA,WA,state,WA,19-22 y,total,confirmed and probable,cases,1
2025-05-04,2025-05-10,cccd,week,pertussis,WA,WA,state,WA,23-44 y,total,confirmed and probable,cases,1
2025-05-04,2025-05-10,cccd,week,pertussis,WA,WA,state,WA,5-11 y,total,confirmed and probable,cases,2
2025-05-11,2025-05-17,cccd,week,pertussis,WA,WA,county,Clark County,total,total,confirmed and probable,cases,2
2025-05-11,2025-05-17,cccd,week,pertussis,WA,WA,county,King County,total,total,confirmed and probable,cases,1
2025-05-11,2025-05-17,cccd,week,pertussis,WA,WA,county,Pierce County,total,total,confirmed and probable,cases,1
2025-05-11,2025-05-17,cccd,week,pertussis,WA,WA,county,Snohomish County,total,total,confirmed and probable,cases,1
2025-05-11,2025-05-17,cccd,week,pertussis,WA,WA,county,Thurston County,total,total,confirmed and probable,cases,1
2025-05-11,2025-05-17,cccd,week,pertussis,WA,WA,state,WA,1-4 y,total,confirmed and probable,cases,2
2025-05-11,2025-05-17,cccd,week,pertussis,WA,WA,state,WA,19-22 y,total,confirmed and probable,cases,2
2025-05-11,2025-05-17,cccd,week,pertussis,WA,WA,state,WA,23-44 y,total,confirmed and probable,cases,1
2025-05-11,2025-05-17,cccd,week,pertussis,WA,WA,state,WA,5-11 y,total,confirmed and probable,cases,1
2025-05-18,2025-05-24,cccd,week,pertussis,WA,WA,county,Clallam County,total,total,confirmed and probable,cases,1
2025-05-18,2025-05-24,cccd,week,pertussis,WA,WA,county,Grant County,total,total,confirmed and probable,cases,1
2025-05-18,2025-05-24,cccd,week,pertussis,WA,WA,county,King County,total,total,confirmed and probable,cases,2
2025-05-18,2025-05-24,cccd,week,pertussis,WA,WA,county,Snohomish County,total,total,confirmed and probable,cases,1
2025-05-18,2025-05-24,cccd,week,pertussis,WA,WA,county,Spokane County,total,total,confirmed and probable,cases,1
2025-05-18,2025-05-24,cccd,week,pertussis,WA,WA,state,WA,1-4 y,total,confirmed and probable,cases,2
2025-05-18,2025-05-24,cccd,week,pertussis,WA,WA,state,WA,19-22 y,total,confirmed and probable,cases,1
2025-05-18,2025-05-24,cccd,week,pertussis,WA,WA,state,WA,5-11 y,total,confirmed and probable,cases,3
2025-05-25,2025-05-31,cccd,week,pertussis,WA,WA,county,King County,total,total,confirmed and probable,cases,3
2025-05-25,2025-05-31,cccd,week,pertussis,WA,WA,county,Snohomish County,total,total,confirmed and probable,cases,2
2025-05-25,2025-05-31,cccd,week,pertussis,WA,WA,county,Thurston County,total,total,confirmed and probable,cases,1
2025-05-25,2025-05-31,cccd,week,pertussis,WA,WA,state,WA,1-4 y,total,confirmed and probable,cases,2
2025-05-25,2025-05-31,cccd,week,pertussis,WA,WA,state,WA,19-22 y,total,confirmed and probable,cases,1
2025-05-25,2025-05-31,cccd,week,pertussis,WA,WA,state,WA,5-11 y,total,confirmed and probable,cases,3
2025-06-01,2025-06-07,cccd,week,pertussis,WA,WA,county,Benton County,total,total,confirmed and probable,cases,1
2025-06-01,2025-06-07,cccd,week,pertussis,WA,WA,county,King County,total,total,confirmed and probable,cases,1
2025-06-01,2025-06-07,cccd,week,pertussis,WA,WA,county,Skagit County,total,total,confirmed and probable,cases,1
2025-06-01,2025-06-07,cccd,week,pertussis,WA,WA,state,WA,1-4 y,total,confirmed and probable,cases,1
2025-06-01,2025-06-07,cccd,week,pertussis,WA,WA,state,WA,5-11 y,total,confirmed and probable,cases,2
2025-06-08,2025-06-14,cccd,week,pertussis,WA,WA,county,Cowlitz County,total,total,confirmed and probable,cases,1
2025-06-08,2025-06-14,cccd,week,pertussis,WA,WA,county,King County,total,total,confirmed and probable,cases,1
2025-06-08,2025-06-14,cccd,week,pertussis,WA,WA,county,Okanogan County,total,total,confirmed and probable,cases,1
2025-06-08,2025-06-14,cccd,week,pertussis,WA,WA,county,Thurston County,total,total,confirmed and probable,cases,1
2025-06-08,2025-06-14,cccd,week,pertussis,WA,WA,state,WA,1-4 y,total,confirmed and probable,cases,2
2025-06-08,2025-06-14,cccd,week,pertussis,WA,WA,state,WA,5-11 y,total,confirmed and probable,cases,2
2025-06-15,2025-06-21,cccd,week,pertussis,WA,WA,county,King County,total,total,confirmed and probable,cases,3
2025-06-15,2025-06-21,cccd,week,pertussis,WA,WA,county,Snohomish County,total,total,confirmed and probable,cases,1
2025-06-15,2025-06-21,cccd,week,pertussis,WA,WA,county,Thurston County,total,total,confirmed and probable,cases,1
2025-06-15,2025-06-21,cccd,week,pertussis,WA,WA,state,WA,1-4 y,total,confirmed and probable,cases,1
2025-06-15,2025-06-21,cccd,week,pertussis,WA,WA,state,WA,5-11 y,total,confirmed and probable,cases,4
2025-06-22,2025-06-28,cccd,week,pertussis,WA,WA,county,Cowlitz County,total,total,confirmed and probable,cases,1
2025-06-22,2025-06-28,cccd,week,pertussis,WA,WA,county,King County,total,total,confirmed and probable,cases,2
2025-06-22,2025-06-28,cccd,week,pertussis,WA,WA,county,Pierce County,total,total,confirmed and probable,cases,1
2025-06-22,2025-06-28,cccd,week,pertussis,WA,WA,county,Spokane County,total,total,confirmed and probable,cases,1
2025-06-22,2025-06-28,cccd,week,pertussis,WA,WA,state,WA,1-4 y,total,confirmed and probable,cases,1
2025-06-22,2025-06-28,cccd,week,pertussis,WA,WA,state,WA,19-22 y,total,confirmed and probable,cases,2
2025-06-22,2025-06-28,cccd,week,pertussis,WA,WA,state,WA,5-11 y,total,confirmed and probable,cases,2
2025-06-29,2025-07-05,cccd,week,pertussis,WA,WA,county,King County,total,total,confirmed and probable,cases,1
2025-06-29,2025-07-05,cccd,week,pertussis,WA,WA,county,Lewis County,total,total,confirmed and probable,cases,1
2025-06-29,2025-07-05,cccd,week,pertussis,WA,WA,county,Pierce County,total,total,confirmed and probable,cases,1
2025-06-29,2025-07-05,cccd,week,pertussis,WA,WA,state,WA,5-11 y,total,confirmed and probable,cases,3
2025-07-06,2025-07-12,cccd,week,pertussis,WA,WA,county,King County,total,total,confirmed and probable,cases,3
2025-07-06,2025-07-12,cccd,week,pertussis,WA,WA,county,Pierce County,total,total,confirmed and probable,cases,3
2025-07-06,2025-07-12,cccd,week,pertussis,WA,WA,state,WA,1-4 y,total,confirmed and probable,cases,2
2025-07-06,2025-07-12,cccd,week,pertussis,WA,WA,state,WA,19-22 y,total,confirmed and probable,cases,1
2025-07-06,2025-07-12,cccd,week,pertussis,WA,WA,state,WA,5-11 y,total,confirmed and probable,cases,3
2025-07-13,2025-07-19,cccd,week,pertussis,WA,WA,county,Franklin County,total,total,confirmed and probable,cases,1
2025-07-13,2025-07-19,cccd,week,pertussis,WA,WA,county,King County,total,total,confirmed and probable,cases,1
